doc_id,dominant_topic,confidence
347,3,0.6867215
348,7,0.6502474
349,6,0.6963809
350,3,0.8339453
351,5,0.9581792
352,3,0.67130345
353,3,0.65153563
354,2,0.9814222
355,1,0.953193
356,3,0.6574561
357,3,0.9828272
358,0,0.5573142
359,1,0.7959437
360,4,0.9539688
361,0,0.9648166
362,3,0.6334326
363,1,0.51688784
364,4,0.65846807
365,3,0.9834996
366,2,0.80138385
367,3,0.604
368,3,0.791677
369,2,0.8124273
370,3,0.6883285
371,3,0.6323833
372,3,0.49801263
373,6,0.71786374
374,0,0.96481633
375,6,0.817067
376,6,0.9690826
377,4,0.93284464
378,2,0.9821219
379,6,0.8313757
380,3,0.6337275
381,2,0.9827706
382,3,0.6514574
383,6,0.765392
384,5,0.7103469
385,4,0.9613081
386,0,0.95871884
387,7,0.963779
388,3,0.77473176
389,0,0.96723497
390,4,0.691222
391,3,0.6826501
392,3,0.5774789
393,3,0.6389001
394,3,0.9828272
395,6,0.9544236
396,3,0.5293148
397,0,0.9620065
398,3,0.63843215
399,4,0.9579575
400,2,0.84089977
401,2,0.85422444
402,0,0.46554446
403,6,0.6775419
404,7,0.7679907
405,4,0.96130663
406,3,0.6287947
407,2,0.9673834
408,5,0.95421386
409,5,0.5032131
410,3,0.5430173
411,2,0.8652409
412,0,0.53789407
413,0,0.57079667
414,2,0.9563954
415,4,0.96130836
416,5,0.66090417
417,7,0.95749986
418,2,0.96738505
419,6,0.9583716
420,3,0.493674
421,2,0.6372588
422,2,0.9814236
423,7,0.5323928
424,0,0.95872223
425,4,0.83848685
426,4,0.9641636
427,4,0.7526221
428,4,0.76892346
429,6,0.9669563
430,0,0.51061034
431,6,0.83202887
432,3,0.98282737
433,1,0.7242287
434,1,0.62808675
435,5,0.82793885
436,6,0.96451837
437,5,0.96435505
438,6,0.78705317
439,1,0.9660671
440,2,0.97984374
441,5,0.81121504
442,3,0.7435526
443,3,0.7368921
444,0,0.5606018
445,1,0.9531932
446,6,0.96167874
447,6,0.9645181
448,3,0.53485805
449,5,0.83481264
450,7,0.86857754
451,3,0.6109413
452,3,0.64703476
453,6,0.85448265
454,5,0.96435386
455,3,0.6021997
456,0,0.95872116
457,3,0.6608193
458,3,0.6207491
459,3,0.669415
460,7,0.6434448
461,2,0.98393995
462,7,0.49256113
463,3,0.670877
464,6,0.5989482
465,0,0.8119444
466,3,0.3882376
467,6,0.9544223
468,4,0.9613076
469,0,0.5446396
470,0,0.8703362
471,4,0.96130824
472,4,0.9641659
473,6,0.9645175
474,6,0.9583707
475,3,0.56321776
476,5,0.96151286
477,3,0.64657503
478,5,0.868342
479,5,0.94941545
480,3,0.69258094
481,3,0.6237175
482,0,0.8138697
483,5,0.9581795
484,4,0.95795476
485,3,0.6870188
486,2,0.8037506
487,3,0.58974475
488,0,0.5719296
489,2,0.76584
490,0,0.96723384
491,2,0.9821225
492,3,0.7117315
493,3,0.5846892
494,3,0.53054875
495,3,0.6712416
496,3,0.6216694
497,3,0.6979488
498,3,0.69011843
499,6,0.96168846
500,3,0.7330355
501,0,0.96201277
502,2,0.96738255
503,0,0.8468207
504,4,0.7013783
505,3,0.55743915
506,2,0.9827733
507,2,0.46915653
508,3,0.64827067
509,3,0.8733304
510,3,0.61557317
511,2,0.6751047
512,3,0.9828273
513,6,0.7979472
514,3,0.74300253
515,6,0.708788
516,2,0.9621836
517,3,0.62235606
518,0,0.96481645
519,6,0.95837194
520,3,0.8448811
521,0,0.5513439
522,3,0.7948846
523,2,0.9844658
524,0,0.8169717
525,3,0.62099797
526,6,0.7534079
527,0,0.58911353
528,6,0.96168923
529,3,0.63354236
530,0,0.5564585
531,1,0.9606539
532,4,0.96416444
533,3,0.9820978
534,4,0.83063084
535,3,0.5953875
536,1,0.95319086
537,3,0.7245547
538,3,0.9841212
539,2,0.9814241
540,3,0.6773521
541,5,0.6836406
542,3,0.58146185
543,0,0.51193744
544,3,0.61458224
545,2,0.9300764
546,0,0.96481603
547,4,0.9641649
548,2,0.96948314
549,3,0.65139955
550,0,0.5656114
551,3,0.6938717
552,5,0.8758586
553,2,0.96497715
